term,estimate,std.error,statistic,p.value
pop,-4.123638737222992e-5,1.9398195255016177e-4,-0.21257847356478488,0.8316576418503926
riceav,0.010274305471639565,0.00440751678854172,2.33108708703046,0.01975733888268634
ricesd,-0.029587998532986024,0.012044652456928031,-2.456525718678345,0.014036089833912005
drght,-9.428008615525545e-5,1.0392442769933483e-5,-9.071985118649723,1.2597196828695035e-19
maxprecip,-8.111150679650762e-5,1.7336036339234395e-5,-4.678780386087361,2.9022359186754474e-6
temp,-0.0011589779829091834,5.53329962824841e-4,-2.0945512818290357,0.03622178247736061
wind,6.526032770941383e-5,6.162809258962207e-5,1.0589379772627168,0.2896391164986905
CFM:period2,2.1886739003047344e-4,0.002313904039155104,0.09458792859464925,0.9246429600768746
