"","fordens1990","fordens2000","fordens2005","fordens2010","fordens2014"
"1",93.7947769165039,92.6511306762695,91.421142578125,89.1198501586914,84.7984771728516
"2",66.9090576171875,66.9090576171875,63.8375358581543,62.8213806152344,62.2336540222168
"3",56.2077331542969,52.9842300415039,52.9164810180664,52.9097099304199,52.861011505127
"4",80.3025970458984,79.1637878417969,79.0182952880859,78.8156967163086,78.5754165649414
"5",73.9054336547852,73.2091903686523,72.9297409057617,72.8636093139648,72.4969100952148
"6",92.3157424926758,92.0903091430664,91.8455505371094,91.2777557373047,90.5680236816406
"7",90.9798049926758,90.2851409912109,90.1867828369141,89.0558929443359,87.3511734008789
"8",90.5080642700195,90.7763671875,90.709228515625,90.3725433349609,90.2862396240234
"9",72.294059753418,70.3802032470703,69.5031890869141,67.3387908935547,66.0242385864258
"10",49.2000389099121,48.5355834960938,47.7742576599121,47.0931930541992,46.8402061462402
"11",65.593132019043,65.3182525634766,65.2313003540039,64.7762832641602,64.1305160522461
"12",84.7852554321289,83.9948272705078,83.8369064331055,82.9369430541992,81.2091369628906
"13",47.6425819396973,44.482120513916,44.4020500183105,41.3863906860352,41.1800842285156
"14",57.7992095947266,48.7623252868652,45.4014015197754,39.8514785766602,39.4761505126953
"15",78.1894760131836,78.1327133178711,78.1279678344727,78.1264801025391,78.0773010253906
"16",22.6744651794434,22.7199878692627,22.6911430358887,22.6793785095215,22.7159976959229
"17",76.86181640625,76.7936401367188,76.7472305297852,76.4974517822266,76.4292373657227
"18",67.4359512329102,66.9958343505859,66.8251724243164,66.8117752075195,66.7238388061523
"19",84.7727966308594,84.7548065185547,84.4900970458984,84.2489700317383,83.5487060546875
"20",90.1937713623047,90.4861297607422,89.8888702392578,89.230224609375,88.6723785400391
"21",45.4437103271484,45.5154151916504,44.7158164978027,40.8656463623047,39.5743675231934
"22",70.519660949707,68.2327423095703,68.2244110107422,68.2567749023438,68.2807083129883
"23",94.4357452392578,92.3516082763672,91.699821472168,91.4235763549805,90.605110168457
"24",94.9901351928711,94.7523574829102,94.6462707519531,94.6255874633789,94.0721282958984
"25",91.4141693115234,91.3598098754883,91.2033462524414,90.9658508300781,90.7990570068359
"26",88.4073333740234,87.2795639038086,86.1633529663086,85.9502487182617,84.7944717407227
"27",89.3713989257812,89.0138549804688,88.5377044677734,88.1648941040039,87.5126647949219
"28",82.2517929077148,82.4521713256836,82.3072509765625,82.1773986816406,82.1444091796875
"29",90.7536239624023,90.7239379882812,90.6042251586914,90.5190505981445,90.4035034179688
"30",38.7170257568359,38.5513763427734,36.7925987243652,33.2979469299316,32.4975204467773
"31",96.2061538696289,95.7224578857422,95.0518569946289,93.4730682373047,90.4620819091797
"32",89.8028259277344,88.379280090332,88.3153381347656,88.0050582885742,87.9247741699219
"33",58.343822479248,58.1165618896484,58.077205657959,57.9676856994629,57.9431228637695
"34",78.6685028076172,78.3091354370117,78.3069534301758,78.3000335693359,78.2805328369141
"35",76.4886169433594,76.4869766235352,76.4700088500977,76.3330307006836,75.933464050293
"36",89.4413833618164,88.5983200073242,88.5322494506836,88.4599456787109,88.1042938232422
"37",69.4706420898438,69.2480392456055,69.2442626953125,69.2422485351562,69.3717803955078
"38",95.7500076293945,95.5611724853516,95.4787292480469,95.4338684082031,95.3584518432617
"39",96.8066635131836,96.5174407958984,96.4752426147461,96.3737030029297,96.2316818237305
"40",94.4848709106445,93.093879699707,92.9450073242188,92.8392715454102,92.6671981811523
"41",97.8151397705078,97.5008163452148,97.3367691040039,97.1409912109375,96.6758346557617
"42",89.4468841552734,87.8923721313477,87.7035827636719,87.4967803955078,87.3215789794922
"43",82.0003280639648,80.690544128418,80.338752746582,80.0685501098633,79.8879623413086
"44",91.2567901611328,90.5728149414062,90.1072616577148,87.7589340209961,85.1085586547852
"45",63.0134963989258,62.6520957946777,62.6378936767578,62.6341247558594,62.5885772705078
