"","edge_means_90m","edge_sds_90m","cfm_edge_means_90m","cfm_edge_sds_90m","pa_edge_means_90m","pa_edge_sds_90m"
"2005",341.186556819298,593.108926991853,377.74146537567,516.412817337744,705.738556002704,845.254025122024
"2010",292.241388720833,517.050558067109,336.932397051768,488.313436376515,610.010657574093,719.191883183912
"2014",244.334700978831,433.257086055271,280.737562432171,401.75583895606,522.172707353728,606.824189254897
