"","national_forest_sum","raster_year.x","year","pa_forest_sum","raster_year.y","cfm_forest_sum","raster_year"
"1",119583268,"for1990",1990,13604528,"PA_for90",5755413,"cfm_p05_for90"
"2",109767014,"for2000",2000,13329679,"PA_for00",5169092,"cfm_p05_for00"
"3",107477902,"for2005",2005,13255320,"PA_for05",5060500,"cfm_p05_for05"
"4",103553899,"for2010",2010,13126507,"PA_for10",4879095,"cfm_p05_for10"
"5",99169395,"for2014",2014,12942051,"PA_for14",4668882,"cfm_p05_for14"
