"","year","forest_pct"
"1",2000,1
"2",2001,0.997030466518185
"3",2002,0.992621678501749
"4",2003,0.987701499412726
"5",2004,0.984235979288416
"6",2005,0.979157804801306
"7",2006,0.972910931897736
"8",2007,0.96415197939741
"9",2008,0.957634259435965
"10",2009,0.949731704062729
"11",2010,0.943424099625852
"12",2011,0.934756343751395
"13",2012,0.928082221030502
"14",2013,0.917695320142856
"15",2014,0.898887884300749
"16",2015,0.887757194630167
"17",2016,0.875417819435479
"18",2017,0.854949613379776
