"","Year","National","CFM","PA","National_pct","CFM_pct","PA_pct"
"1","1990",119583268,5755413,13604528,1,1,1
"2","2000",109767014,5169092,13329679,0.917912813688952,0.89812703276029,0.97979724103622
"3","2005",107477902,5060500,13255320,0.898770403230659,0.879259229528793,0.974331487281293
"4","2010",103553899,4879095,13126507,0.865956422933683,0.847740205611656,0.964863095581118
"5","2014",99169395,4668882,12942051,0.829291561090302,0.811215806754441,0.95130466856329
