term,estimate,std.error,statistic,p.value
distance,-5.775968279309702e-6,4.1185142716883957e-7,-14.024397873318108,1.1688713886408276e-44
pop,1.3223102382914526e-5,9.2675451063676e-6,1.4268182383950976,0.15363407649432875
riceavg,-1.8097286604499585e-6,2.99641335400136e-6,-0.6039649563146143,0.5458677238549376
ricesd,7.186189266689482e-6,8.358974871962158e-6,0.8596974362004057,0.38995702587512093
CFM:year2006,4.5455821987503325e-4,5.166285921368549e-4,0.8798549418159589,0.3789391046455831
CFM:year2007,2.619593447222792e-4,5.166819396835999e-4,0.5070030992039223,0.6121532827362337
CFM:year2008,2.974869657527889e-5,5.167106835611597e-4,0.05757321751168656,0.9540886493271223
CFM:year2009,-0.001359443627322564,5.167507945696138e-4,-2.630752853422903,0.008520342777064299
CFM:year2010,4.724039791024171e-4,5.167650710300027e-4,0.9141561718961264,0.3606360494251827
CFM:year2011,-7.003695005928562e-5,5.169831324391666e-4,-0.13547240841078478,0.8922385338150998
CFM:year2012,-7.236136127582147e-4,5.16980716623633e-4,-1.3996916896322313,0.16160743579908327
CFM:year2013,1.3344153346258857e-4,5.171543181523987e-4,0.2580303959161085,0.7963837521438379
CFM:year2014,5.751061242601856e-4,5.172027673707116e-4,1.1119548473876804,0.2661590919465153
CFM:year2015,-2.802593848470611e-4,5.174408816493164e-4,-0.5416259031442368,0.5880769330985862
CFM:year2016,0.001971068468331388,5.175782624509355e-4,3.8082520293599806,1.4000031619925953e-4
CFM:year2017,0.0020633714445800412,5.18153457597313e-4,3.982162840614693,6.83185247106792e-5
