dist_cart,dist_road,dist_urb,dist_vil,DVSP,elev,for200090m,for200190m,for200290m,for200390m,for200490m,for200590m,for200690m,for200790m,for200890m,for200990m,for201090m,for201190m,for201290m,for201390m,for201490m,for201590m,for201690m,for201790m,lspop2000,lspop2001,lspop2002,lspop2003,lspop2004,pop05,lspop2006,lspop2007,lspop2008,lspop2009,lspop2010,lspop2011,lspop2012,lspop2013,lspop2014,lspop2015,lspop2016,lspop2017,rice,precip,slope,veg,cfm_id,pa_id,CFM,PA
259.80392456,2480.1499023,166864.57813,2331.8217773,72,38,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,26,15,14,12,7,18,10,10,10,11,25,18,18,19,25,22,20,26,0,472,1.2859194279,3,450,0,1,0
5181.9560547,20836.464844,75587.226563,7781.0458984,4,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,5,7,6,7,1,2,2,2,2,2,2,2,2,2,1,1,0,0,572,3.7265501022,3,499,0,1,0
2296.1005859,2755.5393066,14092.058594,2324.9873047,1,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,905,0.7397744656,2,587,0,1,0
1261.2208252,734.8024292,16924.474609,1130.9489746,4,13,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,0.555555582,155,205,92,150,92,34,102,101,104,107,114,104,103,109,114,114,254,332,0,2013,2.8331122398,1,113,0,1,0
4451.3369141,11422.533203,48888.640625,6033.9936523,24,1087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,5.7534627914,1,606,0,1,0
4501.5595703,5445.0688477,26794.533203,5290.2470703,4,721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,6,3,1,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1187,28.912822723,1,738,0,1,0
2246.1174316,12902.010742,25536.769531,2260.5405273,74,252,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.8888888955,0.4444444478,0.4444444478,11,23,30,27,11,8,9,10,10,10,12,11,12,13,14,13,12,5,0,3096,4.7365703583,1,843,0,1,0
816.95227051,16467.341797,54424.46875,1158.8115234,2,241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,4,5,3,4,7,7,8,8,8,8,7,7,8,6,6,4,2,0,614,9.8998203278,3,512,0,1,0
1400.0048828,21740.792969,46416.980469,1503.2607422,24,1022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,7.9097867012,1,611,0,1,0
6217.4741211,32941.734375,53243.183594,6840.253418,171,909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,7,6,17,27,14,16,16,16,16,17,19,21,19,19,17,7,0,1868,10.536259651,1,849,0,1,0
1690.0050049,7848.9399414,114382.21094,2103.6408691,3,581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,3,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,731,1.6574875116,2,476,0,1,0
6330.7944336,8176.753418,91989.070313,7252.4331055,4.5,355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,14.246955872,3,534,0,1,0
3344.7978516,2911.222168,34089.664063,4000.329834,0.3333329856,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6666666865,4,4,3,3,1,1,2,2,2,2,3,2,2,2,3,2,2,1,0,889,0.7952267528,2,583,0,1,0
5448.8071289,4681.0737305,6726.4829102,6666.5083008,34,575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,20,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,7.8458080292,1,877,0,1,0
3796.9797363,3671.8405762,28250.033203,4284.7895508,24,1307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,11.313913345,1,636,0,1,0
4163.4746094,6541.1342773,41011.730469,3046.720459,6,736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,23.941425323,1,751,0,1,0
0,1469.895752,66062.460938,5467.4892578,5,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,986,1.394734025,2,575,0,1,0
946.62011719,16613.320313,47015.742188,1771.7427979,24,959,1,1,1,1,1,1,1,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.555555582,0.555555582,0.4444444478,0.4444444478,6,1,1,5,22,12,13,12,12,12,13,12,12,13,13,13,16,28,0,1512,5.6108632088,1,607,0,1,0
1469.8851318,24895.232422,101250.52344,3218.5759277,11,222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,4,5,3,4,1,2,2,2,2,1,2,2,2,1,2,2,1,0,551,2.8094778061,3,493,0,1,0
1747.6566162,6997.4726563,10315.793945,5234.621582,15.5,565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,47,12,7,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1746,6.3560619354,1,877,0,1,0
2244.1152344,12655.393555,31839.757813,3198.1257324,24,1021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,16.16742897,1,651,0,1,0
3798.1464844,2388.2680664,35114.101563,4190.8486328,3,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,8,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1975,0.2466036677,1,93,0,1,0
551.15881348,16459.302734,69528.085938,5808.9321289,4,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,8,8,10,13,6,7,7,7,7,5,7,7,7,4,5,6,2,0,552,1.627903223,3,499,0,1,0
3255.9772949,4718.4555664,65691.304688,4875.387207,6.5,1285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,19,5,3,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1438,14.303375244,1,601,0,1,0
3037.0053711,866.1204834,28696.501953,2399.6679688,10,1289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,66,63,56,11,4,5,5,5,6,6,6,6,6,6,6,5,1,0,1658,5.183277607,1,1066,0,1,0
