"","year","forest_pa_pct","forest_cfm_pct"
"1",2000,1,1
"2",2001,0.998495105235436,0.997802386331673
"3",2002,0.997188951488536,0.992870380872051
"4",2003,0.996570863497795,0.983347736508012
"5",2004,0.995371046014913,0.980588176390008
"6",2005,0.994426104751811,0.975114006685115
"7",2006,0.993627390985536,0.962954755144684
"8",2007,0.990266768864195,0.954247622090014
"9",2008,0.989020513444403,0.946911559798138
"10",2009,0.987800800582927,0.940436570137056
"11",2010,0.984761566416438,0.931282254169093
"12",2011,0.982061968133475,0.923671927266931
"13",2012,0.979177749096243,0.917704628870915
"14",2013,0.976011960698838,0.907359911958102
"15",2014,0.969373013207674,0.884716161420647
"16",2015,0.965371416407567,0.866544836450836
"17",2016,0.959269449461433,0.8493173369313
"18",2017,0.949926184542307,0.817344948835467
