"","year","frag_pa","frag_cfm"
"1","1990",77.7259219699436,60.226648205881
"2","2000",76.8666751861572,57.857337126745
"3","2005",76.4377834743924,57.1320983592977
"4","2010",75.6886237250434,55.5849263766853
"5","2014",75.0831673940023,53.3474490609617
