"","dens_means_90m","dens_sds_90m","cfm_dens_means_90m","cfm_dens_sds_90m","pa_dens_means_90m","pa_dens_sds_90m"
"2005",64.819693069608,30.5998601803815,73.805743493025,26.0879720274361,85.0030203062054,21.1953150814779
"2010",62.8706550428412,30.676056084584,71.8908551511576,26.7586234425228,84.2992146879611,21.5320632582816
"2014",60.617154869127,30.6584518145193,69.3664937332584,27.2792493854049,83.3299145905233,21.948736070543
