term,estimate,std.error,statistic,p.value
pop,-7.96E-05,2.08E-05,-3.822561512,1.32E-04
riceav,7.20E-07,7.07E-06,0.10191425,0.918824813
ricesd,2.27E-05,1.97E-05,1.156411821,0.247513747
drght,-8.43E-06,7.53E-07,-11.19781542,4.24E-29
precip,-4.39E-07,1.11E-06,-0.394100619,0.693507057
temp,9.90E-05,3.18E-05,3.118739842,0.001816449
wind,1.09E-05,3.48E-06,3.142377278,0.001675996
CFM:year2006,0.003625124,0.00114968,3.153159371,0.001615308
CFM:year2007,0.002577951,0.001150706,2.240321845,0.025070826
CFM:year2008,7.05E-04,0.001151012,0.612407025,0.540268998
CFM:year2009,2.73E-04,0.001149738,0.237691094,0.812120867
CFM:year2010,0.001620571,0.001150393,1.408711393,0.158921648
CFM:year2011,6.86E-04,0.001151113,0.595835248,0.551285781
CFM:year2012,-0.00147118,0.001150429,-1.278810291,0.200964941
CFM:year2013,0.003611841,0.001150008,3.140708215,0.001685576
CFM:year2014,0.011287383,0.001150259,9.812908966,9.99E-23
CFM:year2015,0.007515264,0.001150665,6.531235119,6.53E-11
CFM:year2016,0.010616399,0.001150367,9.228706313,2.76E-20
CFM:year2017,0.018024303,0.001150694,15.66384916,2.82E-55
