term,estimate,std.error,statistic,p.value
pop,-108268294686291.58,50175820306725.625,-2.157778268983859,0.030955365370309903
riceav,680246204228473.5,1140058482108321,0.5966765871260286,0.5507291833056518
ricesd,-2096141320535377,3115497650120330,-0.6728110741648025,0.5010742319798016
drght,-10526142213737.012,2688133272796.4517,-3.915781378944325,9.037109507457432e-5
maxprecip,-14748871220106.885,4484179238083.275,-3.2890904749853767,0.0010066223741737965
temp,-93780739256186.03,143125607408487.97,-0.6552338254085511,0.5123237539400072
wind,38275234835965.016,15940864905066.385,2.4010764198748236,0.016354788297921374
CFM:period2,-604298080506185.25,598519768201788.4,-1.009654338271495,0.31267151773336505
